"","PIN","Sex","Region","Year","Major","Grade","Exam1","Exam2","TRAT","Instructor","Writing","IRAT","Present","Report","Peer","Reading","i1","i2","i3","i4","i5","i6","i7","i8","i9","i10","i11","i12","i13","i14","i15","i16","i17","i18","i19","i20","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20"
"1","N356110408273","M","Singapore","ay1617","PHYSICAL SCIENCES",84.34063838,86,88,89.6875,83.71888951,76.74210583,80.53604726,76.66666667,84.88850784,85.66666667,NA,83.33333333,"80","60","83.33333333","80","40","60","66.66666667","80","75","83.33333333","60","80","100",100,"71.42857143","66.66666667","80","60","100",100,90,75,87.5,85,90,85,66.66666667,85,81.25,91.66666667,100,100,100,100,100,91.66666667,85,80,100
"2","N338113408261","F","Southeast Asia","ay1617","PHILOSOPHY, POLITICS AND ECONOMICS",76.48380718,69,90,89.7916667,73.36670379,77.82641332,75.83191292,90,59.12137511,70.26666667,NA,0,"40","40","33.33333333","60","60","60","66.66666667","80","50","50","80","80","50",80,"100","83.33333333","60","40","100",100,75,85,100,80,100,65,70.83333333,80,87.5,87.5,90,90,100,85,100,100,100,100,100
"3","N351113418261","M","East Asia","ay1617","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",86.44270296,92.5,97,93.2053571,80.42776076,76.74210583,85.34048591,86.66666667,70.82798667,86.86666667,NA,100,"80","60","66.66666667","100","80","100","83.33333333","80","75","100","100","80","100",100,"85.71428571","66.66666667","100","80","100",100,90,90,100,100,80,100,87.5,90,81.25,100,100,100,100,90,92.85714286,87.5,90,85,100
"4","N363114412242","F","Singapore","ay1617","PHILOSOPHY, POLITICS AND ECONOMICS",79.88000282,82.5,88.5,98.1666667,60.25171058,74.59296593,73.81046304,86.66666667,85.54488863,71.06666667,NA,66.66666667,"40","40","83.33333333","80","60","60","50",NA,"75","33.33333333","40","60","66.66666667",80,"0","83.33333333","40","60","80",100,100,100,100,100,90,100,91.66666667,90,100,91.66666667,100,100,100,100,100,100,100,100,100
"5","N337115408224","M","South Asia","ay1617","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.56328025,93,94.5,97.625,90.30114702,71.01106608,87.25497857,86.66666667,87.55727746,84.86666667,NA,100,"100","80","83.33333333","100","60","80","83.33333333","100","100","100","100","100","83.33333333",100,"85.71428571","100","100","80","100",100,100,85,100,100,90,100,100,100,87.5,100,90,100,100,100,100,100,100,100,100
"6","N338115405224","F","Singapore","ay1617","GLOBAL AFFAIRS",77.88751253,75.5,69,90.4791667,52.36718104,77.82641332,77.60259548,90,80.1497688,92.46666667,NA,83.33333333,"80","60","83.33333333","40","80","60","50","20","75","50","60","80","83.33333333",80,"85.71428571","66.66666667","100","40","100",100,100,80,100,100,100,90,66.66666667,60,81.25,91.66666667,90,90,100,90,100,100,100,70,100
"7","N339115401224","F","Other","ay1617","PSYCHOLOGY",80.83984747,86,78.5,95.0416667,75.99189158,78.89124574,76.90343596,83.33333333,73.15356806,80,NA,83.33333333,"80","40","100","40","80","80","66.66666667","60","50","66.66666667","20","20","50",80,"100","66.66666667","80","60","80",100,100,80,100,90,100,85,83.33333333,90,100,100,100,100,87.5,100,100,100,85,100,100
"8","N340115421224","M","Singapore","ay1617","PHILOSOPHY, POLITICS AND ECONOMICS",78.47027464,82.5,73,98.5833333,67.00134805,80.15568995,78.45278107,70,76.15959397,77.4,NA,100,"100","40","0","20","60","100","50","40","75","66.66666667","60","60","83.33333333",0,"85.71428571","100","100","60","100",100,100,100,100,80,100,100,91.66666667,100,100,100,100,100,100,100,100,100,100,100,100
"9","N341115418224","F","Singapore","ay1617","PSYCHOLOGY",76.02095394,87.5,72.5,95.9166667,68.83726385,78.17486577,72.88751474,86.66666667,72.85989506,58.8,NA,83.33333333,"40","40","50","40","60","60","33.33333333","60","75","66.66666667","40","20","83.33333333",60,"71.42857143","50","40","80","100",100,100,75,100,100,100,100,100,80,100,91.66666667,90,100,91.66666667,90,100,100,100,100,100
"10","N342115414224","F","North America","ay1617","ANTHROPOLOGY",78.68105304,80.5,67.5,96.0833333,83.86646516,78.64172485,72.38441959,86.66666667,70.50125417,80,NA,66.66666667,"60","80","33.33333333","60","80","80","33.33333333","0","100","33.33333333","80","40","33.33333333",80,"71.42857143","33.33333333","40","40","40",100,100,85,100,80,100,85,100,100,100,100,90,90,100,100,100,91.66666667,100,100,100
"11","N343115413224","F","Southeast Asia","ay1617","PHILOSOPHY, POLITICS AND ECONOMICS",65.92017383,55.5,43.5,92.6011905,60.5423262,70.46453342,66.44158662,80,65.45210156,76.8,NA,33.33333333,"40","0","66.66666667","20","0","40","50","0","75","66.66666667","80","0","33.33333333",40,"71.42857143","66.66666667","40","40","40",100,100,90,100,90,90,75,79.16666667,90,100,100,80,90,100,100,92.85714286,100,100,75,100
"12","N344115412224","M","South Asia","ay1617","PSYCHOLOGY",81.6591999,86,87.5,95.9166667,84.57744484,76.02572586,76.82893323,86.66666667,72.85989506,71.2,NA,100,"80","60","50","0","40","80","83.33333333","60","100","50","80","60","66.66666667",60,"85.71428571",NA,"40","0","80",100,100,75,100,100,100,100,100,80,100,91.66666667,90,100,91.66666667,90,100,100,100,100,100
"13","N345115410224","F","East Asia","ay1617","GLOBAL AFFAIRS",59.99127997,62,40.5,86.8541667,67.00134805,65.92598569,67.82368164,83.33333333,53.29095101,42.4,NA,83.33333333,"20","40","16.66666667","40","60","80","16.66666667","20","50","50","20","20","66.66666667",0,"71.42857143","50","20","60",NA,87.5,75,90,100,75,100,100,79.16666667,70,68.75,91.66666667,60,85,100,85,100,100,70,100,100
"14","N346115408224","F","Singapore","ay1617","URBAN STUDIES",72.42940789,73.5,79.5,95.9166667,57.38985949,75.3093459,69.08497842,86.66666667,72.85989506,53.93333333,NA,83.33333333,"0","80","50","20","60","60","50","20","25","33.33333333","80","20","16.66666667",60,"57.14285714","66.66666667","60","20","60",100,100,75,100,100,100,100,100,80,100,91.66666667,90,100,91.66666667,90,100,100,100,100,100
"15","N347115405224","M","South Asia","ay1617","PHILOSOPHY, POLITICS AND ECONOMICS",76.12747663,83,77.5,94.0595238,62.86694241,80.27234792,76.75869538,90,76.06725679,57,NA,100,"100","80","33.33333333","40","0","80","66.66666667","80","75","66.66666667","40","60","33.33333333",80,"28.57142857","83.33333333","20","80","100",100,80,90,100,75,100,100,91.66666667,80,100,100,90,100,91.66666667,90,92.85714286,100,100,100,100
"16","N348115401224","M","Southeast Asia","ay1617","ENVIRONMENTAL STUDIES",80.1543892,75.5,80,95.9166667,81.71559376,73.16020599,71.20819718,86.66666667,72.85989506,86.73333333,NA,83.33333333,"60","60","66.66666667","20","60","60","0","20","50","33.33333333","40","40","33.33333333",0,"85.71428571","50","80","60","100",100,100,75,100,100,100,100,100,80,100,91.66666667,90,100,91.66666667,90,100,100,100,100,100
"17","N349115402224","F","North America","ay1617","PHILOSOPHY, POLITICS AND ECONOMICS",76.73711374,69.5,70,88.375,81.15280919,77.44527009,76.90858159,75,56.8394765,93.26666667,NA,66.66666667,"80","60","83.33333333","40","20","60","66.66666667","20","75","83.33333333","80","60","50",80,"100","66.66666667","100","40","80",79.16666667,75,75,100,85,100,90,91.66666667,45,100,100,90,65,100,90,100,91.66666667,100,90,100
"18","N350115418224","F","North America","ay1617","PHILOSOPHY, POLITICS AND ECONOMICS",82.91867898,80.5,77,95.9166667,84.57744484,78.17486577,79.87458416,86.66666667,72.85989506,92.13333333,NA,66.66666667,"60","40","83.33333333","80","100","40","50","60","75","50","60","80","83.33333333",60,"100","83.33333333","100","100","100",100,100,75,100,100,100,100,100,80,100,91.66666667,90,100,91.66666667,90,100,100,100,100,100
"19","N352115413224","F","East Asia","ay1617","PSYCHOLOGY",79.91585298,88,85,95.6458333,62.86694241,77.01110179,77.08028338,86.66666667,85.22103557,65.66666667,NA,83.33333333,"80","60","83.33333333","20","80","80","50","40","75","100","60","40","83.33333333",40,"71.42857143","0","80","80","80",100,100,100,100,85,100,90,91.66666667,80,81.25,100,100,100,100,100,100,100,100,85,100
"20","N353115412224","M","East Asia","ay1617","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.86040047,100,77,95.0416667,74.56096603,78.17486577,80.50627152,83.33333333,73.15356806,80,NA,100,"80","60","66.66666667","60","100","100","33.33333333","0","100","66.66666667","80","80","50",60,"100","66.66666667","80","80","100",100,100,80,100,90,100,85,83.33333333,90,100,100,100,100,87.5,100,100,100,85,100,100
