QE,Midterm,Final,Presenation,IRAT,TRAT,Peval,Ieval,FINAL,X,PIN
5,65.5,72,8.4,83.03731906,0.94375,15,97.55783424,94.09145977,,N356120424277
5,67.5,70,8.2,85.29662724,0.927083333,13.56311528,97.55783424,92.5138392,,N363114413299
5,67.5,70,8.18,84.40536323,0.920833333,13.18681319,97.55783424,91.96591071,,N385120423276
5,70,68,9,82.2739941,0.922916667,12.71523179,92.7921334,91.78434454,,N321120410297
5,69.5,69,10,79.78117298,0.93125,12.46153846,85.36094556,91.76047254,,N390120425296
5,69.5,70,8.3,83.27412493,0.91875,12.125,97.55783424,91.44569592,,N377120414296
5,69,69,8.9,83.32603996,0.922916667,12.38848921,89.02902334,91.08649554,,N342120408277
5,70,67,10,80.2736612,0.93125,12,85.36094556,90.93151623,,N380119410203
5,70,69,9.5,84.38722188,0.95,12.13235294,77.132558,90.89544204,,N304120410278
5,66,68,9,84.11627072,0.925,13.87067862,77.132558,90.46778371,,N353120401277
5,66,68,8.8,81.27410856,0.920833333,13.16129032,89.02902334,90.42215906,,N397120412296
5,68,64,8.85,84.92151032,0.947916667,13.45945946,83.55641988,90.30308582,,N361120401296
5,67.5,66,8.66,81.58692878,0.954166667,12,97.55783424,90.19947631,,N318120424297
5,67.5,70,8.66,85.67294883,0.954166667,11.88039867,83.55641988,90.19944666,,N324120408277
5,71.5,69,8.66,81.76168672,0.954166667,12.49315068,69.55500553,89.85426435,,N340120412277
5,65,66,9.6,80.50613322,0.929166667,12.58378378,89.02902334,89.81785499,,N383120425276
4.5,64.5,68.5,9,80.86245684,0.960416667,13.05592529,85.33408527,89.72419062,,N351120408277
5,69,67,8.2,82.43376695,0.879166667,12.78554803,89.02902334,89.70127151,,N358120421277
5,68,65,7,81.40515586,0.91875,13.97260274,92.7921334,89.52427611,,N336120424297
5,63,68,9.5,82.98391765,0.914583333,13.42105263,77.132558,89.46742241,,N388117405293
5,70,58.5,9.25,82.49899817,0.927083333,13.36639104,86.09238845,89.44080748,,N309120425278
5,65,70,9,85.19056824,0.966666667,12,77.132558,89.39897929,,N382120402276
5,65,60,10,79.81100869,0.941666667,14.0106383,81.75208226,89.30583629,,N341117402293
5,66,67,8.87,83.32268559,0.922916667,13.93504625,69.55500553,89.26642648,,N335118418249
5,66,63.5,9,83.02569407,0.960416667,13.52938942,77.75105342,89.18345306,,N375120423277
5,67,68,8.5,78.01008559,0.93125,13.29965593,77.132558,89.12642029,,N328120423297
5,70,68,8.9,81.64369655,0.922916667,12,73.59709767,88.98657943,,N367120412241
4,65,69,10,78.5756524,0.93125,12,85.36094556,88.92838202,,N323120410277
5,69,65,9,85.10652649,0.933333333,12,77.132558,88.779464,,N354120425296
5,71,67,8.87,78.80186046,0.922916667,12.34220532,69.55500553,88.61039192,,N300120421277
5,67,68,7.25,85.33874157,0.945833333,13.16129032,76.99275023,88.60277283,,N387120414277
5,67.5,70,8.3,81.46801825,0.927083333,12.68789809,69.55500553,88.55547824,,N309120424297
4.5,65,65.5,8.5,84.07410301,0.947916667,13.26317345,81.54256934,88.55400736,,N380120401277
5,66,62.47512956,9,74.86504669,0.922916667,12.71523179,92.7921334,88.39765246,,N311120412297
5,70.36171761,69,8.5,68.01421952,0.93125,12.24489796,77.132558,88.28366394,,N363120425296
5,68,68,8,81.1493276,0.941666667,12.88822764,70.85662647,88.28326749,,N355120424296
5,66,69,7,81.70137217,0.895833333,13.38659058,81.82437993,88.19749912,,N303120410297
5,63,68,9.5,80.83393607,0.95,12,77.132558,88.1855383,,N363120402277
5,67,56,8.5,83.18923669,0.95625,13.56521739,88.36729801,87.95003753,,N375120421296
5,69,62,9,82.74306305,0.945833333,12,77.132558,87.83478432,,N369120414277
5,63,62,9,85.02477296,0.939583333,12.95364238,81.82437993,87.75661322,,N309120402277
5,67.5,64,9,72.28791447,0.885416667,13.78021978,73.36406123,87.7273618,,N302120414277
5,65,66,9,79.4206444,0.91875,12,81.75208226,87.69366155,,N386120414296
5,64,60,9.5,81.30700535,0.95,13.16023107,77.132558,87.44863185,,N348120423277
5,59.5,66,10,78.93504792,0.93125,11.75510204,85.36094556,87.3583125,,N313120410278
5,64,62,9,82.14894804,0.885416667,12.60335196,85.36094556,87.20850799,,N313120408297
5,66,65,9,78.29124686,0.925,11.93639576,77.132558,87.11766513,,N356120423296
