QR2
,PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,SATnew
631,N379119412207,2018,F,Undecided,Economics,NA,530,530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
324,N374117408203,2017,F,"Philosophy, Politics and Economics",Arts & Humanities,NA,600,600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
238,N363117412203,2017,M,Anthropology,Philosophy,NA,620,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
433,N321117423204,2017,M,Anthropology,Anthropology,NA,620,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
502,N302119412208,2018,F,Life Sciences,History,NA,620,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
583,N301119413208,2018,F,Physical Sciences,Environmental Studies,NA,620,620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
426,N308116418296,2017,M,"Philosophy, Politics and Economics",Global Affairs,NA,630,630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
346,N331117421204,2017,F,Global Affairs,Arts & Humanities,NA,640,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
486,N324119425219,2018,F,"Philosophy, Politics and Economics",Economics,NA,640,640,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
564,N372119425207,2018,M,"Philosophy, Politics and Economics","Mathematical, Computational and Statistical Sciences",700,730,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,730
301,N300117402204,2017,M,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,650,650,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,762.279411764706
303,N342117414204,2017,F,Life Sciences,Philosophy,NA,650,650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
322,N366117405203,2017,M,History,Global Affairs,NA,650,650,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,762.279411764706
534,N303119410208,2018,F,"Mathematical, Computational and Statistical Sciences",Life Sciences,NA,650,650,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,762.279411764706
259,N320117424204,2017,F,Global Affairs,"Philosophy, Politics and Economics",NA,670,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
249,N325117413204,2017,M,Physical Sciences,Arts & Humanities,NA,680,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
330,N352117414203,2017,F,Physical Sciences,Psychology,NA,680,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
333,N373117410203,2017,F,"Mathematical, Computational and Statistical Sciences",Physical Sciences,NA,680,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
381,N362117413203,2017,F,"Philosophy, Politics and Economics",Global Affairs,NA,680,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
392,N382117410203,2017,F,"Mathematical, Computational and Statistical Sciences",Psychology,NA,680,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,762.279411764706
461,N383119421208,2018,F,Global Affairs,Arts & Humanities,NA,680,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
599,N341119405208,2018,F,Global Affairs,"Philosophy, Politics and Economics",NA,680,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
536,N391119424207,2018,M,Philosophy,Arts & Humanities,NA,690,690,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,762.279411764706
342,N391117410203,2017,F,Literature,Physical Sciences,NA,690,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
445,N301117425204,2017,F,Psychology,Philosophy,NA,690,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
635,N384119418208,2018,F,Literature,"Philosophy, Politics and Economics",NA,690,690,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,762.279411764706
661,N339119414209,2018,F,"Philosophy, Politics and Economics",Urban Studies,NA,690,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
664,N300119424222,2018,F,"Philosophy, Politics and Economics",Global Affairs,NA,690,690,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,762.279411764706
