,PIN,Sex,Region,Year,Major,Grade,HSG,IndGrd2,AC1,AC2,SAT,IndGrd
0,N313106412255,M,Southeast Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.66,3,91.575,"Philosophy, Politics and Economics",Undeclared,770,1.0
1,N303108421205,M,Singapore,ay1415,DDP LAW,82.399,4,78.2375,Global Affairs,Psychology,680,0.0
2,N397110424273,F,Singapore,ay1415,PHILOSOPHY,79.126,4,80.7625,Undecided,Philosophy,730,0.0
3,N308110412274,F,Singapore,ay1415,LIFE SCIENCES,83.57600000000002,3,79.225,"Philosophy, Politics and Economics",Psychology,790,0.0
4,N337110408274,F,Singapore,ay1415,PSYCHOLOGY,88.145,3,89.75,"Philosophy, Politics and Economics",Economics,800,1.0
5,N386110425292,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.572,4,69.2,History,Anthropology,700,0.0
6,N374110423297,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,81.366,4,78.125,Psychology,Arts & Humanities,730,0.0
7,N379112424217,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",81.51100000000002,4,86.075,"Philosophy, Politics and Economics",Undeclared,780,0.0
8,N395112408223,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.787,4,89.775,Undeclared,Undeclared,750,1.0
9,N376112405225,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",74.874,4,82.425,"Mathematical, Computational and Statistical Sciences",Undeclared,780,0.0
10,N330112423236,F,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",82.678,4,76.375,Life Sciences,Literature,640,0.0
11,N331112421236,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.954,4,77.575,"Mathematical, Computational and Statistical Sciences",Economics,800,0.0
12,N332112418236,M,Singapore,ay1415,PHYSICAL SCIENCES,81.70100000000002,4,81.375,Physical Sciences,Literature,790,0.0
13,N333112414236,M,Singapore,ay1415,GLOBAL AFFAIRS,68.854,3,66.1125,"Philosophy, Politics and Economics",Global Affairs,790,0.0
14,N385112421249,M,Singapore,ay1415,HISTORY,78.59100000000002,3,71.9875,Life Sciences,Anthropology,780,0.0
15,N320112401251,M,Singapore,ay1415,ANTHROPOLOGY,83.191,3,88.675,Arts & Humanities,Philosophy,740,1.0
16,N381112413252,M,Singapore,ay1415,DDP LAW & GLOBAL AFFAIRS Major,88.899,4,91.3375,Literature,Arts & Humanities,800,1.0
17,N306112413255,M,Singapore,ay1415,ANTHROPOLOGY,72.65100000000002,4,62.8,Arts & Humanities,Psychology,680,0.0
18,N384112402255,M,Singapore,ay1415,ECONOMICS,87.787,4,89.2125,Economics,Undeclared,720,1.0
19,N388112421255,M,Singapore,ay1415,HISTORY,89.64299999999999,4,92.875,Global Affairs,History,800,1.0
20,N370112412264,F,Singapore,ay1415,LITERATURE,66.464,2,53.4625,History,Global Affairs,630,0.0
21,N358112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,73.223,4,65.675,Psychology,Anthropology,790,0.0
22,N360112401278,M,North America,ay1415,PHYSICAL SCIENCES,88.835,4,91.2625,Physical Sciences,Undeclared,780,1.0
23,N362112425278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.117,3,69.4125,Arts & Humanities,History,700,0.0
24,N363112424278,M,North America,ay1415,ENVIRONMENTAL STUDIES,80.624,4,78.575,Physical Sciences,Undeclared,800,0.0
25,N364112423278,F,South Asia,ay1415,LITERATURE,75.296,3,64.375,Global Affairs,Literature,770,0.0
26,N365112421278,M,East Asia,ay1415,GLOBAL AFFAIRS,80.10600000000002,4,79.15,Life Sciences,Undeclared,780,0.0
27,N366112418278,F,Singapore,ay1415,DDP LAW & PSYCHOLOGY Major,77.524,3,71.95,Psychology,"Philosophy, Politics and Economics",780,0.0
28,N367112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,78.232,3,67.0125,Arts & Humanities,Economics,650,0.0
29,N368112413278,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",78.125,4,88.0625,Physical Sciences,Undeclared,800,1.0
30,N370112402278,M,Singapore,ay1415,PSYCHOLOGY,82.83,4,80.3,Psychology,Economics,760,0.0
31,N372112424278,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",85.321,4,82.925,"Philosophy, Politics and Economics",Undeclared,760,0.0
32,N373112423278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",84.212,3,87.775,Literature,Anthropology,800,1.0
33,N374112421278,F,Singapore,ay1415,PHYSICAL SCIENCES,85.272,4,87.275,Life Sciences,Physical Sciences,800,1.0
34,N375112418278,F,Southeast Asia,ay1415,LITERATURE,81.742,4,87.85,Literature,Undeclared,790,1.0
35,N376112414278,F,Singapore,ay1415,GLOBAL AFFAIRS,76.543,1,78.725,Psychology,Arts & Humanities,680,0.0
36,N377112413278,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",72.685,2,66.0,"Philosophy, Politics and Economics",Arts & Humanities,720,0.0
37,N378112412278,F,East Asia,ay1415,ENVIRONMENTAL STUDIES,82.485,4,87.125,Psychology,Life Sciences,740,1.0
38,N380112425278,M,East Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.498,3,75.675,Arts & Humanities,Global Affairs,780,0.0
39,N381112424278,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.494,3,80.7375,Physical Sciences,"Mathematical, Computational and Statistical Sciences",800,0.0
40,N382112423278,F,North America,ay1415,URBAN STUDIES,78.995,4,69.15,Global Affairs,Undeclared,690,0.0
41,N383112421278,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.37899999999998,4,84.7625,Psychology,Undecided,760,0.0
42,N384112418278,F,Singapore,ay1415,DDP LAW,84.11,4,85.525,"Philosophy, Politics and Economics",Literature,760,0.0
43,N386112413278,F,Singapore,ay1415,PSYCHOLOGY,82.646,3,80.975,Psychology,Undecided,780,0.0
44,N387112412278,F,Singapore,ay1415,ANTHROPOLOGY,82.291,3,76.65,Literature,Psychology,760,0.0
45,N389112408278,M,North America,ay1415,DDP Law,87.005,3,88.475,Undecided,Undecided,780,1.0
46,N390112424278,M,Singapore,ay1415,ECONOMICS,82.493,4,86.75,Economics,Psychology,800,1.0
47,N391112423278,F,North America,ay1415,ANTHROPOLOGY,81.007,4,78.9,Global Affairs,Undeclared,800,0.0
48,N392112421278,F,Singapore,ay1415,PSYCHOLOGY,74.6,3,75.25,Psychology,Arts & Humanities,630,0.0
49,N393112418278,F,Singapore,ay1415,ECONOMICS,76.423,3,64.0875,"Philosophy, Politics and Economics",Global Affairs,790,0.0
50,N394112414278,M,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",76.35600000000002,4,77.4375,Economics,Undeclared,670,0.0
51,N396112412278,F,North America,ay1415,URBAN STUDIES,71.76,4,61.075,Global Affairs,Environmental Studies,760,0.0
52,N397112410278,F,North America,ay1415,ANTHROPOLOGY,85.115,4,82.2,Undecided,Undecided,780,0.0
53,N398112408278,F,Singapore,ay1415,ANTHROPOLOGY,74.718,4,74.4375,Global Affairs,Literature,740,0.0
54,N399112405278,F,Singapore,ay1415,URBAN STUDIES,74.236,4,68.4875,Anthropology,Environmental Studies,780,0.0
55,N300112413279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",86.90100000000002,4,88.4375,"Philosophy, Politics and Economics",Undeclared,780,1.0
56,N301112412279,M,Europe,ay1415,ECONOMICS,85.15,4,86.3625,"Mathematical, Computational and Statistical Sciences",Undeclared,740,1.0
57,N303112408279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",87.579,4,91.975,Global Affairs,"Philosophy, Politics and Economics",800,1.0
58,N304112405279,M,Singapore,ay1415,ARTS AND HUMANITIES,80.468,1,70.9,Arts & Humanities,Literature,780,0.0
59,N305112401279,F,Singapore,ay1415,URBAN STUDIES,79.563,4,80.6375,Urban Studies,Anthropology,740,0.0
60,N306112402279,M,Singapore,ay1415,PSYCHOLOGY,84.309,4,85.825,Anthropology,History,750,0.0
61,N307112425279,F,Singapore,ay1415,DDP LAW,83.634,4,86.4375,Arts & Humanities,Global Affairs,760,1.0
62,N308112424279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",89.147,4,97.425,"Philosophy, Politics and Economics",Economics,800,1.0
63,N309112423279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.42,4,60.9,Undecided,Undecided,790,0.0
64,N310112412279,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.66199999999998,4,83.6875,Life Sciences,Arts & Humanities,780,0.0
65,N311112410279,F,Singapore,ay1415,PSYCHOLOGY,81.689,4,78.5,Psychology,Physical Sciences,770,0.0
66,N313112405279,F,Singapore,ay1415,ECONOMICS,79.979,4,85.7125,Economics,History,750,0.0
67,N314112401279,M,East Asia,ay1415,PHILOSOPHY,81.251,4,72.05,"Philosophy, Politics and Economics",Anthropology,760,0.0
68,N315112402279,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.92699999999998,3,53.5,"Philosophy, Politics and Economics",Economics,750,0.0
69,N316112425279,M,Singapore,ay1415,LIFE SCIENCES,78.801,4,77.025,Life Sciences,Undeclared,730,0.0
70,N317112424279,M,Singapore,ay1415,ECONOMICS,84.87899999999998,4,92.3,Economics,"Mathematical, Computational and Statistical Sciences",760,1.0
71,N319112421279,M,Southeast Asia,ay1415,PSYCHOLOGY,83.15299999999998,4,87.8875,Economics,Undeclared,710,1.0
72,N320112410279,M,North America,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.20100000000002,4,91.225,Arts & Humanities,Undeclared,800,1.0
73,N321112408279,F,Singapore,ay1415,URBAN STUDIES,73.04,4,67.3625,Global Affairs,Urban Studies,800,0.0
74,N322112405279,M,North America,ay1415,ARTS AND HUMANITIES,73.385,2,63.7875,Undecided,Undeclared,630,0.0
75,N323112401279,M,Singapore,ay1415,PSYCHOLOGY,79.721,4,85.175,Philosophy,"Philosophy, Politics and Economics",780,0.0
76,N324112402279,M,Singapore,ay1415,ECONOMICS,76.80199999999998,4,67.5625,"Philosophy, Politics and Economics",Literature,700,0.0
77,N325112425279,F,Singapore,ay1415,ENVIRONMENTAL STUDIES,71.771,3,73.9625,Life Sciences,Environmental Studies,640,0.0
78,N326112424279,M,South Asia,ay1415,GLOBAL AFFAIRS,77.366,4,71.3375,"Philosophy, Politics and Economics",Global Affairs,680,0.0
79,N327112423279,F,Singapore,ay1415,LITERATURE,84.101,4,84.1,Anthropology,Literature,790,0.0
80,N328112421279,M,Singapore,ay1415,DDP LAW,76.872,4,73.7125,Arts & Humanities,Literature,780,0.0
81,N329112418279,F,Singapore,ay1415,PHILOSOPHY,78.78399999999998,2,52.725,History,Arts & Humanities,630,0.0
82,N330112408279,M,Other,ay1415,LIFE SCIENCES,77.23899999999998,4,76.6,Undecided,Undecided,690,0.0
