Admit.Year,Term.in.which.module.is.offered,Module.Code,Module.Title,Shadow.CC.Grades,Published.Grade,PIN
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N371112425278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N376112405225
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N368112413278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N359107401288
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N367113412221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N362112425278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N342112402279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N386113410221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N301112412279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N320112410279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N374110423297
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N382112423278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N367112414278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N376112414278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N308112424279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N374113414221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N333113414226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N322113421226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N343112425279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N388113405221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N328112421279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N393113425219
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N377112413278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N333112402279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N306112413255
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N313106412255
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N353112424279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N337112421279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N387112412278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N393112418278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N372112424278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N391113401219
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N305112401279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N389113401221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N381113421221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N327112423279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N339112414279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N319112421279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N346112421279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N390112424278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N386110425292
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N381112424278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N396112412278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N394113424219
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N308113412226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CU,N373113418221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N385112421249
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N349112413279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N329113405226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N388112421255
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N322112405279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N338112418279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N378113408221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N336112423279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N384113413221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N321113423226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N391112423278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N326113412226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N370113424221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N351112402279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N330113423226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N366113413221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N386112413278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N383113414221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CU,N376113412221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N333112414236
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N394112414278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N388112410278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N374112421278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N392112421278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N326112424279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N323113418226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N325112425279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N370112412264
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N369112412278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N312113423226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N311112410279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N310113425226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N370112402278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N384112402255
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N337110408274
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N352112425279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N335112424279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N308110412274
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N325113413226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N399112405278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N379113405221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N368113410221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N316113413226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N366112418278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N324112402279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CU,N318112423279
2014,AY1617 S1,YCC1111,Literature and Humanities 1,C,CS,N318112423279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N323112401279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N310112412279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N332113424241
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N377113410221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N356112418279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N302112410279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N331113421226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N328113408226
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N397112410278
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N304112405279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N303112408279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CU,N380113423221
2014,AY1516 S1,YCC1111,Literature and Humanities 1,-,CS,N380113423221
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N384112412241
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N398113418236
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N309112423279
2014,AY1415 S1,YCC1111,Literature and Humanities 1,-,CS,N317113412226
