,PIN,Sex.x,Region,Year,Major,Grade,IndGrd2,Academic.Interest.1,Academic.Interest.2,SAT,HSG
1,N313106412255,M,Southeast Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.66,91.575,"Philosophy, Politics and Economics",NA,770,NA
2,N359107401288,M,Singapore,ay1415,LIFE SCIENCES,86.38,96.600,Life Sciences,NA,NA,NA
3,N303108421205,M,Singapore,ay1415,DDP LAW,82.399,78.2375,Global Affairs,Psychology,NA,NA
4,N397110424273,F,Singapore,ay1415,PHILOSOPHY,79.126,80.7625,Undecided,Philosophy,730,NA
5,N308110412274,F,Singapore,ay1415,LIFE SCIENCES,83.576,79.225,"Philosophy, Politics and Economics",Psychology,NA,NA
6,N337110408274,F,Singapore,ay1415,PSYCHOLOGY,88.145,89.75,"Philosophy, Politics and Economics",Economics,NA,NA
7,N386110425292,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.572,69.2,History,Anthropology,NA,NA
8,N374110423297,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,81.366,78.125,Psychology,Arts & Humanities,NA,NA
9,N379112424217,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",81.511,86.075,"Philosophy, Politics and Economics",NA,NA,NA
10,N395112408223,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.787,89.775,NA,NA,NA,NA
11,N376112405225,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",74.874,82.425,"Mathematical, Computational and Statistical Sciences",NA,780,NA
12,N330112423236,F,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",82.678,76.375,Life Sciences,Literature,640,NA
13,N331112421236,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.954,77.575,"Mathematical, Computational and Statistical Sciences",Economics,800,NA
14,N332112418236,M,Singapore,ay1415,PHYSICAL SCIENCES,81.701,81.375,Physical Sciences,Literature,NA,NA
15,N333112414236,M,Singapore,ay1415,GLOBAL AFFAIRS,68.854,66.1125,"Philosophy, Politics and Economics",Global Affairs,NA,NA
