X1,PIN,Sex,Region,Year,Major,Grade,HSG,IndGrd2,AC1,AC2,SAT
0,N313106412255,M,Southeast Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.66,3,91.575,"Philosophy, Politics and Economics",Undeclared,770
2,N303108421205,M,Singapore,ay1415,DDP LAW,82.399,4,78.2375,Global Affairs,Psychology,680
3,N397110424273,F,Singapore,ay1415,PHILOSOPHY,79.126,4,80.7625,Undecided,Philosophy,730
4,N308110412274,F,Singapore,ay1415,LIFE SCIENCES,83.57600000000001,3,79.225,"Philosophy, Politics and Economics",Psychology,790
5,N337110408274,F,Singapore,ay1415,PSYCHOLOGY,88.145,3,89.75,"Philosophy, Politics and Economics",Economics,800
6,N386110425292,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.572,4,69.2,History,Anthropology,700
7,N374110423297,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,81.366,4,78.125,Psychology,Arts & Humanities,730
8,N379112424217,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",81.51100000000001,4,86.075,"Philosophy, Politics and Economics",Undeclared,780
9,N395112408223,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.787,4,89.775,Undeclared,Undeclared,750
10,N376112405225,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",74.874,4,82.425,"Mathematical, Computational and Statistical Sciences",Undeclared,780
11,N330112423236,F,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",82.678,4,76.375,Life Sciences,Literature,640
12,N331112421236,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.954,4,77.575,"Mathematical, Computational and Statistical Sciences",Economics,800
13,N332112418236,M,Singapore,ay1415,PHYSICAL SCIENCES,81.70100000000001,4,81.375,Physical Sciences,Literature,790
14,N333112414236,M,Singapore,ay1415,GLOBAL AFFAIRS,68.854,3,66.1125,"Philosophy, Politics and Economics",Global Affairs,790
16,N385112421249,M,Singapore,ay1415,HISTORY,78.59100000000001,3,71.9875,Life Sciences,Anthropology,780
17,N320112401251,M,Singapore,ay1415,ANTHROPOLOGY,83.191,3,88.675,Arts & Humanities,Philosophy,740
18,N381112413252,M,Singapore,ay1415,DDP LAW & GLOBAL AFFAIRS Major,88.899,4,91.3375,Literature,Arts & Humanities,800
19,N306112413255,M,Singapore,ay1415,ANTHROPOLOGY,72.65100000000001,4,62.8,Arts & Humanities,Psychology,680
20,N384112402255,M,Singapore,ay1415,ECONOMICS,87.787,4,89.2125,Economics,Undeclared,720
21,N388112421255,M,Singapore,ay1415,HISTORY,89.64299999999999,4,92.875,Global Affairs,History,800
22,N370112412264,F,Singapore,ay1415,LITERATURE,66.464,2,53.4625,History,Global Affairs,630
23,N358112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,73.223,4,65.675,Psychology,Anthropology,790
24,N360112401278,M,North America,ay1415,PHYSICAL SCIENCES,88.835,4,91.2625,Physical Sciences,Undeclared,780
25,N362112425278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.117,3,69.4125,Arts & Humanities,History,700
26,N363112424278,M,North America,ay1415,ENVIRONMENTAL STUDIES,80.624,4,78.575,Physical Sciences,Undeclared,800
27,N364112423278,F,South Asia,ay1415,LITERATURE,75.296,3,64.375,Global Affairs,Literature,770
28,N365112421278,M,East Asia,ay1415,GLOBAL AFFAIRS,80.10600000000001,4,79.15,Life Sciences,Undeclared,780
29,N366112418278,F,Singapore,ay1415,DDP LAW & PSYCHOLOGY Major,77.524,3,71.95,Psychology,"Philosophy, Politics and Economics",780
30,N367112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,78.232,3,67.0125,Arts & Humanities,Economics,650
31,N368112413278,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",78.125,4,88.0625,Physical Sciences,Undeclared,800
32,N370112402278,M,Singapore,ay1415,PSYCHOLOGY,82.83,4,80.3,Psychology,Economics,760
33,N372112424278,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",85.321,4,82.925,"Philosophy, Politics and Economics",Undeclared,760
34,N373112423278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",84.212,3,87.775,Literature,Anthropology,800
35,N374112421278,F,Singapore,ay1415,PHYSICAL SCIENCES,85.272,4,87.275,Life Sciences,Physical Sciences,800
36,N375112418278,F,Southeast Asia,ay1415,LITERATURE,81.742,4,87.85,Literature,Undeclared,790
37,N376112414278,F,Singapore,ay1415,GLOBAL AFFAIRS,76.543,1,78.725,Psychology,Arts & Humanities,680
38,N377112413278,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",72.685,2,66,"Philosophy, Politics and Economics",Arts & Humanities,720
39,N378112412278,F,East Asia,ay1415,ENVIRONMENTAL STUDIES,82.485,4,87.125,Psychology,Life Sciences,740
40,N380112425278,M,East Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.498,3,75.675,Arts & Humanities,Global Affairs,780
41,N381112424278,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.494,3,80.7375,Physical Sciences,"Mathematical, Computational and Statistical Sciences",800
42,N382112423278,F,North America,ay1415,URBAN STUDIES,78.995,4,69.15,Global Affairs,Undeclared,690
43,N383112421278,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.37899999999999,4,84.7625,Psychology,Undecided,760
44,N384112418278,F,Singapore,ay1415,DDP LAW,84.11,4,85.525,"Philosophy, Politics and Economics",Literature,760
45,N386112413278,F,Singapore,ay1415,PSYCHOLOGY,82.646,3,80.975,Psychology,Undecided,780
46,N387112412278,F,Singapore,ay1415,ANTHROPOLOGY,82.291,3,76.65,Literature,Psychology,760
48,N389112408278,M,North America,ay1415,DDP Law,87.005,3,88.475,Undecided,Undecided,780
49,N390112424278,M,Singapore,ay1415,ECONOMICS,82.493,4,86.75,Economics,Psychology,800
50,N391112423278,F,North America,ay1415,ANTHROPOLOGY,81.007,4,78.9,Global Affairs,Undeclared,800
51,N392112421278,F,Singapore,ay1415,PSYCHOLOGY,74.6,3,75.25,Psychology,Arts & Humanities,630
52,N393112418278,F,Singapore,ay1415,ECONOMICS,76.423,3,64.0875,"Philosophy, Politics and Economics",Global Affairs,790
53,N394112414278,M,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",76.35600000000001,4,77.4375,Economics,Undeclared,670
54,N396112412278,F,North America,ay1415,URBAN STUDIES,71.76,4,61.075,Global Affairs,Environmental Studies,760
55,N397112410278,F,North America,ay1415,ANTHROPOLOGY,85.115,4,82.2,Undecided,Undecided,780
56,N398112408278,F,Singapore,ay1415,ANTHROPOLOGY,74.718,4,74.4375,Global Affairs,Literature,740
57,N399112405278,F,Singapore,ay1415,URBAN STUDIES,74.236,4,68.4875,Anthropology,Environmental Studies,780
58,N300112413279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",86.90100000000001,4,88.4375,"Philosophy, Politics and Economics",Undeclared,780
59,N301112412279,M,Europe,ay1415,ECONOMICS,85.15,4,86.3625,"Mathematical, Computational and Statistical Sciences",Undeclared,740
61,N303112408279,M,Singapore,ay1415,"DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",87.579,4,91.975,Global Affairs,"Philosophy, Politics and Economics",800
62,N304112405279,M,Singapore,ay1415,ARTS AND HUMANITIES,80.468,1,70.9,Arts & Humanities,Literature,780
63,N305112401279,F,Singapore,ay1415,URBAN STUDIES,79.563,4,80.6375,Urban Studies,Anthropology,740
64,N306112402279,M,Singapore,ay1415,PSYCHOLOGY,84.309,4,85.825,Anthropology,History,750
65,N307112425279,F,Singapore,ay1415,DDP LAW,83.634,4,86.4375,Arts & Humanities,Global Affairs,760
66,N308112424279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",89.147,4,97.425,"Philosophy, Politics and Economics",Economics,800
67,N309112423279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.42,4,60.9,Undecided,Undecided,790
68,N310112412279,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.66199999999999,4,83.6875,Life Sciences,Arts & Humanities,780
69,N311112410279,F,Singapore,ay1415,PSYCHOLOGY,81.689,4,78.5,Psychology,Physical Sciences,770
70,N313112405279,F,Singapore,ay1415,ECONOMICS,79.979,4,85.7125,Economics,History,750
71,N314112401279,M,East Asia,ay1415,PHILOSOPHY,81.251,4,72.05,"Philosophy, Politics and Economics",Anthropology,760
72,N315112402279,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",71.92699999999999,3,53.5,"Philosophy, Politics and Economics",Economics,750
73,N316112425279,M,Singapore,ay1415,LIFE SCIENCES,78.801,4,77.025,Life Sciences,Undeclared,730
74,N317112424279,M,Singapore,ay1415,ECONOMICS,84.87899999999999,4,92.3,Economics,"Mathematical, Computational and Statistical Sciences",760
75,N319112421279,M,Southeast Asia,ay1415,PSYCHOLOGY,83.15299999999999,4,87.8875,Economics,Undeclared,710
76,N320112410279,M,North America,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.20100000000001,4,91.225,Arts & Humanities,Undeclared,800
77,N321112408279,F,Singapore,ay1415,URBAN STUDIES,73.04,4,67.3625,Global Affairs,Urban Studies,800
78,N322112405279,M,North America,ay1415,ARTS AND HUMANITIES,73.385,2,63.7875,Undecided,Undeclared,630
79,N323112401279,M,Singapore,ay1415,PSYCHOLOGY,79.721,4,85.175,Philosophy,"Philosophy, Politics and Economics",780
80,N324112402279,M,Singapore,ay1415,ECONOMICS,76.80199999999999,4,67.5625,"Philosophy, Politics and Economics",Literature,700
81,N325112425279,F,Singapore,ay1415,ENVIRONMENTAL STUDIES,71.771,3,73.9625,Life Sciences,Environmental Studies,640
82,N326112424279,M,South Asia,ay1415,GLOBAL AFFAIRS,77.366,4,71.3375,"Philosophy, Politics and Economics",Global Affairs,680
83,N327112423279,F,Singapore,ay1415,LITERATURE,84.101,4,84.1,Anthropology,Literature,790
84,N328112421279,M,Singapore,ay1415,DDP LAW,76.872,4,73.7125,Arts & Humanities,Literature,780
85,N329112418279,F,Singapore,ay1415,PHILOSOPHY,78.78399999999999,2,52.725,History,Arts & Humanities,630
86,N330112408279,M,Other,ay1415,LIFE SCIENCES,77.23899999999999,4,76.6,Undecided,Undecided,690
87,N331112405279,M,Singapore,ay1415,PSYCHOLOGY,78.178,4,82.4040754625,Anthropology,History,800
88,N332112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,83.322,4,87.6625,Environmental Studies,Urban Studies,720
89,N333112402279,F,Singapore,ay1415,ANTHROPOLOGY,64.751,4,62.5375,Anthropology,Global Affairs,640
90,N336112423279,F,Other,ay1415,ARTS AND HUMANITIES,73.03699999999999,2,71.5625,Global Affairs,Undeclared,750
91,N337112421279,F,Singapore,ay1415,ECONOMICS,83.78299999999999,4,85.4,Economics,Psychology,760
92,N338112418279,F,Singapore,ay1415,ANTHROPOLOGY,76.455,3,68.175,Anthropology,Undecided,710
93,N339112414279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,85.425,4,89.7625,"Philosophy, Politics and Economics",Global Affairs,760
94,N340112405279,F,Singapore,ay1415,URBAN STUDIES,72.711,4,64.7625,Arts & Humanities,Anthropology,650
95,N342112402279,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.514,4,80.0875,Economics,Undeclared,780
96,N343112425279,M,Southeast Asia,ay1415,GLOBAL AFFAIRS,79.411,4,81.575,Physical Sciences,Undeclared,790
97,N344112424279,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.199,4,74.3375,"Philosophy, Politics and Economics",Global Affairs,630
98,N346112421279,M,Singapore,ay1415,PSYCHOLOGY,78.851,2,76.8875,Literature,Philosophy,720
99,N347112418279,F,Singapore,ay1415,PSYCHOLOGY,70.78399999999999,4,66.6125,Psychology,Philosophy,690
100,N349112413279,F,North America,ay1415,URBAN STUDIES,82.676,4,80.8375,"Philosophy, Politics and Economics",Undeclared,800
101,N350112401279,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,88.294,3,90.6875,Economics,Undeclared,790
102,N351112402279,F,Singapore,ay1415,GLOBAL AFFAIRS,75.805,3,64,Economics,Global Affairs,800
103,N352112425279,M,Singapore,ay1415,DDP LAW,79.033,4,76.7875,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",780
104,N353112424279,F,Singapore,ay1415,ARTS AND HUMANITIES,65.439,2,47.1875,Anthropology,Arts & Humanities,750
105,N354112423279,M,Singapore,ay1415,ECONOMICS,89.54799999999999,4,96.35,Economics,Philosophy,780
106,N355112421279,F,Singapore,ay1415,ANTHROPOLOGY,72.73100000000001,4,65.1625,Global Affairs,Psychology,790
107,N356112418279,F,Europe,ay1415,GLOBAL AFFAIRS,79.361,3,74.2375,Global Affairs,"Philosophy, Politics and Economics",640
108,N391113401219,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,72.904,4,71.275,"Philosophy, Politics and Economics",Arts & Humanities,660
109,N392113402219,F,Singapore,ay1415,HISTORY,69.88600000000001,4,63.85,Arts & Humanities,"Philosophy, Politics and Economics",800
110,N393113425219,F,Southeast Asia,ay1415,DDP LAW,78.73899999999999,4,81.1125,"Philosophy, Politics and Economics",Undeclared,720
111,N394113424219,F,Singapore,ay1415,HISTORY,73.458,4,59.925,Global Affairs,"Philosophy, Politics and Economics",680
112,N395113423219,F,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.361,3,80.375,Arts & Humanities,Life Sciences,710
114,N365113414221,F,Southeast Asia,ay1415,ARTS AND HUMANITIES,63.773,2,52.1125,Economics,Undeclared,640
115,N366113413221,F,North America,ay1415,LIFE SCIENCES,88.072,4,92.725,Economics,Undeclared,780
116,N367113412221,M,Europe,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.384,4,92.45,"Mathematical, Computational and Statistical Sciences",Undeclared,770
117,N368113410221,M,East Asia,ay1415,HISTORY,77.7,4,72.2,History,Undeclared,720
119,N370113424221,M,North America,ay1415,LIFE SCIENCES,81.706,1,80.2,Arts & Humanities,Undeclared,670
120,N372113421221,F,Other,ay1415,LIFE SCIENCES,78.545,3,73.9875,Physical Sciences,Undeclared,710
121,N374113414221,M,Other,ay1415,ECONOMICS,75.529,4,69.7125,Psychology,Undeclared,800
122,N376113412221,M,Other,ay1415,HISTORY,75.601,2,64.9375,Arts & Humanities,Undeclared,760
123,N377113410221,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.258,4,79.2125,"Philosophy, Politics and Economics",Undeclared,780
124,N378113408221,F,East Asia,ay1415,GLOBAL AFFAIRS,82.163,4,78.5375,Urban Studies,"Philosophy, Politics and Economics",800
