PIN,Matriculation.Date,Sex,Academic.Interest.1,Academic.Interest.2,SAT.I.Math,Translated.SAT.I.Math,SAT.R.Math.Verified,ACT.Math.Verified,GCE..A..Levels.H1.MATHEMATICS.Grade,GCE..A..Levels.H1.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.MATHEMATICS.Grade,GCE..A..Levels.H2.PHYSICS.ADD..PHYSICS.Grade,GCE..A..Levels.H2.COMPUTER.SCIENCE.COMPUTING.Grade,IB.Math.Studies.SL.Score,IB.Mathematics.SL.Score,IB.Mathematics.HL.Score,IB.Math.Stats.HL.Score,IB.Further.mathematics.SL.Score,IB.Computer.Sc..SL.Score,IB.Computer.Sc..HL.Score,AP.Calculus..AB..Score,AP.Statistics.Score,AP.Physics.1.Score,AP.Computer.Science..A..Score,AP.Computer.Science..AB..Score
N385115424262,2016,F,Economics,Global Affairs,NA,NA,NA,NA,,,A,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N344115410225,2016,F,Environmental Studies,Global Affairs,730,760,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N336115408225,2016,M,Economics,Philosophy,NA,NA,NA,30,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N304116413208,2016,F,Literature,Environmental Studies,780,790,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N361115413224,2016,M,Economics,,760,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N302115423225,2016,M,Global Affairs,"Philosophy, Politics and Economics",NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N340115418225,2016,F,Global Affairs,Urban Studies,720,750,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N304115418225,2016,M,Economics,Global Affairs,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N376115424262,2016,M,History,Literature,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N354115408225,2016,F,Global Affairs,"Philosophy, Politics and Economics",660,690,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
N356115401225,2016,M,Physical Sciences,Anthropology,720,750,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N307116408208,2016,F,Global Affairs,History,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N396116421207,2016,M,Arts & Humanities,"Philosophy, Politics and Economics",760,780,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N350115418224,2016,F,"Philosophy, Politics and Economics",Economics,NA,NA,NA,32,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N391116401207,2016,F,Arts & Humanities,Literature,NA,NA,NA,NA,A,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
