PIN,Sex,Region,Year,Major,Grade,Exam1,Exam2,TRAT,Instructor,Writing,IRAT,Present,Report,Peer,Reading,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20
N313106412255,M,Southeast Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.66,100,88,93.4,84,78.9,84.3,86.7,60,86.6,NA,87.5,60,40,100,100,83.33,40,100,60,66.67,83.33,100,80,80,100,83.33,,,,,93.75,100,90,83.33333333,100,100,80,100,70,91.66666667,100,100,100,92,92,100,90,NA,NA,NA
N359107401288,M,Singapore,ay1415,LIFE SCIENCES,86.38,NA,98,98.25,74.1,79,92.4,83.3,91.4,74.3,NA,62.5,80,100,100,100,100,100,80,100,66.67,83.33,75,80,80,100,83.33,,,,,100,100,90,100,100,100,100,100,100,100,100,90,85,100,100,100,100,NA,NA,NA
N303108421205,M,Singapore,ay1415,DDP LAW,82.399,72,86.5,91.4,66.9,85.3,75.2,93.3,90,84.8,NA,37.5,60,40,0,60,66.67,40,100,80,100,83.33,75,40,80,83.33,50,,,,,93.75,100,90,100,85,100,75,100,100,91.66666667,100,90,80,100,91.66666667,55,100,NA,NA,NA
N397110424273,F,Singapore,ay1415,PHILOSOPHY,79.126,78,85.5,91.4,52.7,70.1,77.8,93.3,90,76.6,NA,50,100,60,100,60,0,60,100,80,66.67,50,0,100,80,100,66.67,,,,,93.75,100,90,100,85,100,75,100,100,91.66666667,100,90,80,100,91.66666667,55,100,NA,NA,NA
N308110412274,F,Singapore,ay1415,LIFE SCIENCES,83.576,79.5,83.5,93.6,76.9,72.4,72.4,90,92.9,91.5,NA,75,40,80,66.67,60,83.33,80,40,100,66.67,33.33,25,80,60,100,100,,,,,93.75,85,85,100,100,100,90,100,100,83.33333333,100,65,90,100,100,100,100,NA,NA,NA
N337110408274,F,Singapore,ay1415,PSYCHOLOGY,88.145,95,91,91.7,81.1,87.7,80,90,85.7,94,NA,87.5,80,60,100,100,83.33,60,80,0,100,66.67,100,80,80,100,100,,,,,93.75,100,85,100,85,100,65,100,85,83.33333333,100,80,80,100,91.66666667,100,100,NA,NA,NA
N386110425292,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.572,63.5,72.5,94.8,83.7,90.3,72.8,83.3,65.7,86.4,NA,62.5,100,40,83.33,0,50,20,80,0,33.33,33.33,0,100,60,83.33,83.33,,,,,100,100,90,100,100,100,100,100,90,70.83333333,100,90,90,100,100,100,100,NA,NA,NA
N374110423297,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,81.366,92.5,66.5,93.6,69.8,79.6,74,90,92.9,77.7,NA,75,40,0,100,60,50,20,40,60,33.33,0,75,80,80,100,83.33,,,,,93.75,85,85,100,100,100,90,100,100,83,100,65,90,100,100,100,100,NA,NA,NA
N379112424217,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",81.511,86,89,90.35,93.2,75.6,81.8,96.7,42.9,93.5,NA,50,60,60,83.33,80,50,40,100,80,100,66.67,50,80,80,100,100,,,,,90.625,85,75,100,85,91.66666667,55,100,100,79.16666667,100,85,90,100,100,85,100,NA,NA,NA
N395112408223,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.787,95,87,95.7,76.9,77.4,86.1,86.7,88.6,87.2,NA,37.5,100,60,66.67,80,66.67,20,60,100,100,100,100,80,100,100,0,,,,,71.875,100,100,100,100,100,80,90,100,100,100,90,100,100,92,100,100,NA,NA,NA
