,PIN,Sex,Region,Year,Major,Grade,HSG,IndGrd2,AC1,AC2,SAT
0,N313106412255,M,Southeast Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.66,,91.575,"Philosophy, Politics and Economics",Undeclared,770.0
2,N303108421205,M,Singapore,ay1415,DDP LAW,82.399,,78.2375,Global Affairs,Psychology,
3,N397110424273,F,Singapore,ay1415,PHILOSOPHY,79.126,,80.7625,Undecided,Philosophy,730.0
4,N308110412274,F,Singapore,ay1415,LIFE SCIENCES,83.57600000000001,,79.225,"Philosophy, Politics and Economics",Psychology,
5,N337110408274,F,Singapore,ay1415,PSYCHOLOGY,88.145,,89.75,"Philosophy, Politics and Economics",Economics,
6,N386110425292,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.572,,69.2,History,Anthropology,
7,N374110423297,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,81.366,,78.125,Psychology,Arts & Humanities,
8,N379112424217,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",81.51100000000001,,86.075,"Philosophy, Politics and Economics",Undeclared,
9,N395112408223,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.787,,89.775,Undeclared,Undeclared,
10,N376112405225,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",74.874,,82.425,"Mathematical, Computational and Statistical Sciences",Undeclared,780.0
11,N330112423236,F,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",82.678,,76.375,Life Sciences,Literature,640.0
12,N331112421236,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.954,,77.575,"Mathematical, Computational and Statistical Sciences",Economics,800.0
13,N332112418236,M,Singapore,ay1415,PHYSICAL SCIENCES,81.70100000000001,,81.375,Physical Sciences,Literature,
14,N333112414236,M,Singapore,ay1415,GLOBAL AFFAIRS,68.854,,66.1125,"Philosophy, Politics and Economics",Global Affairs,
16,N385112421249,M,Singapore,ay1415,HISTORY,78.59100000000001,,71.9875,Life Sciences,Anthropology,
17,N320112401251,M,Singapore,ay1415,ANTHROPOLOGY,83.191,,88.675,Arts & Humanities,Philosophy,
18,N381112413252,M,Singapore,ay1415,DDP LAW & GLOBAL AFFAIRS Major,88.899,,91.3375,Literature,Arts & Humanities,800.0
19,N306112413255,M,Singapore,ay1415,ANTHROPOLOGY,72.65100000000001,,62.8,Arts & Humanities,Psychology,
20,N384112402255,M,Singapore,ay1415,ECONOMICS,87.787,,89.2125,Economics,Undeclared,
21,N388112421255,M,Singapore,ay1415,HISTORY,89.64299999999999,,92.875,Global Affairs,History,
22,N370112412264,F,Singapore,ay1415,LITERATURE,66.464,,53.4625,History,Global Affairs,
23,N358112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,73.223,,65.675,Psychology,Anthropology,
24,N360112401278,M,North America,ay1415,PHYSICAL SCIENCES,88.835,,91.2625,Physical Sciences,Undeclared,780.0
25,N362112425278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.117,,69.4125,Arts & Humanities,History,
26,N363112424278,M,North America,ay1415,ENVIRONMENTAL STUDIES,80.624,,78.575,Physical Sciences,Undeclared,800.0
27,N364112423278,F,South Asia,ay1415,LITERATURE,75.296,,64.375,Global Affairs,Literature,770.0
28,N365112421278,M,East Asia,ay1415,GLOBAL AFFAIRS,80.10600000000001,,79.15,Life Sciences,Undeclared,780.0
29,N366112418278,F,Singapore,ay1415,DDP LAW & PSYCHOLOGY Major,77.524,,71.95,Psychology,"Philosophy, Politics and Economics",
