,SATimputed,HSGimputed
0,770.0,1.0
1,756.0,1.0
2,730.0,1.0
3,758.0,1.0
4,782.0,1.0
5,735.0,2.0
6,755.0,1.0
7,773.0,1.0
8,782.0,1.0
9,780.0,1.0
10,640.0,1.0
11,800.0,1.0
12,763.0,1.0
13,728.0,2.0
14,741.0,2.0
15,779.0,1.0
16,800.0,1.0
17,720.0,2.0
18,781.0,1.0
19,789.0,1.0
20,699.0,2.0
21,727.0,2.0
22,780.0,1.0
23,735.0,2.0
24,800.0,1.0
25,770.0,2.0
26,780.0,1.0
27,741.0,2.0
28,730.0,2.0
29,800.0,1.0
30,760.0,1.0
31,760.0,1.0
32,777.0,1.0
33,776.0,1.0
34,790.0,1.0
35,757.0,1.0
36,720.0,2.0
37,776.0,1.0
38,780.0,1.0
39,800.0,1.0
40,735.0,2.0
41,770.0,1.0
42,772.0,1.0
43,762.0,1.0
44,752.0,1.0
45,779.0,1.0
46,775.0,1.0
47,800.0,1.0
48,749.0,1.0
49,723.0,2.0
50,670.0,1.0
51,760.0,2.0
52,765.0,1.0
53,740.0,1.0
54,733.0,2.0
55,779.0,1.0
56,740.0,1.0
57,787.0,1.0
58,739.0,2.0
59,761.0,1.0
60,750.0,1.0
61,760.0,1.0
62,799.0,1.0
63,716.0,2.0
64,768.0,1.0
65,756.0,1.0
66,773.0,1.0
67,741.0,2.0
68,750.0,2.0
69,753.0,1.0
70,788.0,1.0
71,710.0,1.0
72,800.0,1.0
73,731.0,2.0
74,630.0,2.0
75,771.0,1.0
76,731.0,2.0
77,746.0,1.0
78,740.0,2.0
79,769.0,1.0
80,745.0,1.0
81,697.0,2.0
82,690.0,1.0
83,765.0,1.0
84,777.0,1.0
85,720.0,2.0
86,750.0,2.0
87,760.0,1.0
88,733.0,2.0
89,782.0,1.0
90,725.0,2.0
91,760.0,1.0
92,790.0,1.0
93,747.0,1.0
94,752.0,1.0
95,729.0,2.0
96,800.0,1.0
97,790.0,1.0
98,723.0,2.0
99,752.0,1.0
100,685.0,2.0
101,797.0,1.0
102,726.0,2.0
103,640.0,1.0
104,740.0,2.0
105,800.0,2.0
106,762.0,1.0
107,714.0,2.0
108,760.0,1.0
109,640.0,2.0
110,780.0,1.0
111,788.0,1.0
112,720.0,2.0
113,670.0,1.0
114,710.0,1.0
115,800.0,2.0
116,760.0,2.0
117,780.0,1.0
118,756.0,1.0
119,580.0,2.0
120,760.0,2.0
121,739.0,2.0
122,780.0,1.0
123,650.0,2.0
124,800.0,1.0
125,743.0,2.0
126,770.0,2.0
127,736.0,2.0
128,780.0,1.0
129,747.0,1.0
130,780.0,2.0
131,798.0,1.0
132,788.0,1.0
133,727.0,2.0
134,768.0,1.0
135,744.0,2.0
136,630.0,2.0
137,736.0,2.0
138,670.0,1.0
139,720.0,1.0
140,780.0,1.0
141,693.0,2.0
142,740.0,2.0
143,772.0,1.0
144,757.0,1.0
145,735.0,2.0
146,800.0,1.0
147,727.0,2.0
148,672.0,2.0
149,745.0,2.0
150,719.0,2.0
151,765.0,1.0
152,790.0,1.0
153,764.0,1.0
154,778.0,1.0
155,800.0,1.0
156,762.0,1.0
157,783.0,1.0
158,770.0,1.0
159,710.0,1.0
160,777.0,1.0
161,756.0,1.0
162,750.0,1.0
163,800.0,1.0
164,780.0,1.0
165,759.0,1.0
166,783.0,1.0
167,757.0,1.0
168,758.0,1.0
169,770.0,1.0
170,762.0,1.0
171,774.0,1.0
172,730.0,2.0
173,776.0,1.0
174,740.0,2.0
175,792.0,1.0
176,720.0,2.0
177,783.0,1.0
178,763.0,1.0
179,785.0,1.0
180,780.0,1.0
181,789.0,1.0
182,771.0,1.0
183,773.0,1.0
184,752.0,1.0
185,800.0,1.0
186,749.0,1.0
187,760.0,1.0
188,771.0,1.0
189,750.0,1.0
190,787.0,1.0
191,780.0,1.0
192,784.0,1.0
193,778.0,1.0
194,779.0,1.0
195,778.0,1.0
196,724.0,2.0
197,780.0,1.0
198,780.0,1.0
199,755.0,1.0
200,780.0,1.0
201,772.0,1.0
202,755.0,1.0
203,800.0,1.0
204,767.0,1.0
205,755.0,1.0
206,757.0,1.0
207,755.0,1.0
208,770.0,1.0
209,767.0,1.0
210,744.0,2.0
211,800.0,1.0
212,759.0,1.0
213,700.0,1.0
214,770.0,1.0
215,753.0,1.0
216,800.0,1.0
217,766.0,1.0
218,800.0,1.0
219,780.0,1.0
220,763.0,1.0
221,750.0,1.0
222,740.0,1.0
223,760.0,1.0
224,786.0,1.0
225,764.0,1.0
226,764.0,1.0
227,750.0,1.0
228,787.0,1.0
229,759.0,1.0
230,784.0,1.0
231,740.0,1.0
232,780.0,2.0
233,749.0,1.0
234,790.0,1.0
235,752.0,1.0
236,766.0,1.0
237,773.0,1.0
238,773.0,1.0
239,747.0,1.0
240,780.0,1.0
241,748.0,1.0
242,753.0,1.0
243,726.0,2.0
244,760.0,1.0
245,711.0,2.0
246,781.0,1.0
247,740.0,2.0
248,781.0,1.0
249,690.0,1.0
250,709.0,2.0
251,800.0,1.0
252,787.0,1.0
253,743.0,2.0
254,753.0,1.0
255,714.0,1.0
256,759.0,1.0
257,751.0,1.0
258,784.0,1.0
259,774.0,1.0
260,778.0,1.0
261,760.0,1.0
262,761.0,1.0
263,749.0,1.0
264,783.0,1.0
265,792.0,1.0
266,764.0,1.0
267,778.0,1.0
268,763.0,1.0
269,776.0,1.0
270,760.0,1.0
271,771.0,1.0
272,773.0,1.0
273,769.0,1.0
274,769.0,1.0
275,630.0,1.0
276,790.0,1.0
277,778.0,1.0
278,720.0,1.0
279,750.0,1.0
280,728.0,2.0
281,700.0,2.0
282,790.0,1.0
283,730.0,1.0
284,786.0,1.0
285,780.0,1.0
286,740.0,1.0
287,772.0,1.0
288,710.0,2.0
289,745.0,2.0
290,730.0,1.0
291,724.0,2.0
292,760.0,1.0
293,764.0,1.0
294,781.0,1.0
295,760.0,1.0
296,730.0,2.0
297,740.0,2.0
298,780.0,1.0
299,800.0,1.0
300,760.0,1.0
301,800.0,1.0
302,771.0,1.0
303,800.0,1.0
304,780.0,1.0
305,767.0,1.0
306,780.0,1.0
307,772.0,1.0
308,800.0,1.0
309,740.0,1.0
310,800.0,1.0
311,776.0,1.0
312,670.0,1.0
313,800.0,1.0
314,770.0,1.0
315,760.0,1.0
316,800.0,1.0
317,800.0,1.0
318,800.0,1.0
319,773.0,1.0
320,784.0,1.0
321,794.0,1.0
322,757.0,1.0
323,780.0,1.0
324,800.0,1.0
325,722.0,2.0
326,772.0,1.0
327,790.0,1.0
328,800.0,1.0
329,765.0,2.0
330,790.0,1.0
331,780.0,2.0
332,760.0,1.0
333,755.0,1.0
334,756.0,1.0
335,680.0,2.0
336,790.0,2.0
337,780.0,1.0
338,760.0,2.0
339,747.0,1.0
340,740.0,1.0
341,730.0,1.0
342,750.0,2.0
343,720.0,1.0
344,800.0,1.0
345,800.0,1.0
346,751.0,1.0
347,780.0,1.0
348,770.0,1.0
349,720.0,2.0
350,800.0,1.0
351,790.0,1.0
352,780.0,2.0
353,763.0,1.0
354,800.0,1.0
355,760.0,1.0
356,800.0,1.0
357,790.0,1.0
358,710.0,1.0
359,760.0,1.0
360,800.0,1.0
361,800.0,1.0
362,780.0,1.0
363,760.0,1.0
364,720.0,1.0
365,800.0,1.0
366,800.0,1.0
367,800.0,1.0
368,800.0,2.0
369,741.0,2.0
370,730.0,1.0
371,755.0,1.0
372,730.0,2.0
373,720.0,2.0
374,716.0,2.0
375,800.0,1.0
376,800.0,1.0
377,758.0,1.0
378,743.0,2.0
379,735.0,2.0
380,660.0,1.0
381,723.0,2.0
382,770.0,1.0
383,770.0,2.0
384,780.0,1.0
385,772.0,1.0
386,760.0,2.0
387,670.0,2.0
388,800.0,2.0
389,754.0,1.0
390,730.0,1.0
391,743.0,2.0
392,780.0,1.0
393,790.0,1.0
394,760.0,1.0
395,717.0,2.0
396,740.0,1.0
397,690.0,1.0
398,756.0,1.0
399,800.0,1.0
400,800.0,1.0
401,780.0,2.0
402,800.0,1.0
403,760.0,1.0
404,756.0,1.0
405,780.0,1.0
406,790.0,2.0
407,800.0,1.0
408,650.0,2.0
409,780.0,1.0
410,670.0,2.0
411,710.0,1.0
412,770.0,1.0
413,750.0,1.0
414,744.0,2.0
415,714.0,2.0
416,760.0,1.0
417,769.0,1.0
418,775.0,1.0
419,764.0,1.0
420,730.0,2.0
421,780.0,1.0
422,760.0,2.0
423,759.0,1.0
424,660.0,1.0
425,690.0,3.0
426,780.0,1.0
427,750.0,1.0
428,712.0,2.0
429,800.0,1.0
430,770.0,1.0
431,746.0,1.0
432,763.0,1.0
433,758.0,1.0
434,757.0,1.0
435,755.0,1.0
436,720.0,1.0
437,740.0,2.0
438,778.0,1.0
439,781.0,1.0
440,748.0,1.0
441,772.0,1.0
442,739.0,1.0
443,737.0,2.0
444,744.0,2.0
445,760.0,1.0
446,763.0,1.0
447,790.0,1.0
448,743.0,1.0
449,772.0,1.0
450,781.0,2.0
451,759.0,1.0
452,783.0,1.0
453,736.0,2.0
454,779.0,1.0
455,762.0,1.0
456,748.0,2.0
457,747.0,1.0
458,800.0,1.0
459,760.0,1.0
460,786.0,1.0
461,744.0,1.0
462,747.0,1.0
463,712.0,1.0
464,751.0,1.0
465,800.0,1.0
466,779.0,1.0
467,733.0,3.0
468,800.0,1.0
469,737.0,1.0
470,761.0,1.0
471,744.0,2.0
472,744.0,2.0
473,753.0,3.0
474,745.0,2.0
475,772.0,1.0
476,800.0,1.0
477,777.0,1.0
