"","PIN","Sex.x","Region","Year","Major","Grade","HSG","IndGrd2","Academic.Interest.1","Academic.Interest.2","SAT"
"1","N313106412255","M","Southeast Asia","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.66,NA,91.575,"Philosophy, Politics and Economics",NA,770
"2","N359107401288","M","Singapore","ay1415","LIFE SCIENCES",86.38,NA,NA,"Life Sciences",NA,NA
"3","N303108421205","M","Singapore","ay1415","DDP LAW",82.399,NA,78.2375,"Global Affairs","Psychology",NA
"4","N397110424273","F","Singapore","ay1415","PHILOSOPHY",79.126,NA,80.7625,"Undecided","Philosophy",730
"5","N308110412274","F","Singapore","ay1415","LIFE SCIENCES",83.576,NA,79.225,"Philosophy, Politics and Economics","Psychology",NA
"6","N337110408274","F","Singapore","ay1415","PSYCHOLOGY",88.145,NA,89.75,"Philosophy, Politics and Economics","Economics",NA
"7","N386110425292","M","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",78.572,NA,69.2,"History","Anthropology",NA
"8","N374110423297","M","Singapore","ay1415","ENVIRONMENTAL STUDIES",81.366,NA,78.125,"Psychology","Arts & Humanities",NA
"9","N379112424217","M","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",81.511,NA,86.075,"Philosophy, Politics and Economics",NA,NA
"10","N395112408223","M","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",86.787,NA,89.775,NA,NA,NA
"11","N376112405225","M","Singapore","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",74.874,NA,82.425,"Mathematical, Computational and Statistical Sciences",NA,780
"12","N330112423236","F","Other","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",82.678,NA,76.375,"Life Sciences","Literature",640
"13","N331112421236","M","South Asia","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.954,NA,77.575,"Mathematical, Computational and Statistical Sciences","Economics",800
"14","N332112418236","M","Singapore","ay1415","PHYSICAL SCIENCES",81.701,NA,81.375,"Physical Sciences","Literature",NA
"15","N333112414236","M","Singapore","ay1415","GLOBAL AFFAIRS",68.854,NA,66.1125,"Philosophy, Politics and Economics","Global Affairs",NA
"16","N384112412241","M","Singapore","ay1415","DDP LAW",83.661,NA,NA,"Economics","Philosophy, Politics and Economics",NA
"17","N385112421249","M","Singapore","ay1415","HISTORY",78.591,NA,71.9875,"Life Sciences","Anthropology",NA
"18","N320112401251","M","Singapore","ay1415","ANTHROPOLOGY",83.191,NA,88.675,"Arts & Humanities","Philosophy",NA
"19","N381112413252","M","Singapore","ay1415","DDP LAW & GLOBAL AFFAIRS Major",88.899,NA,91.3375,"Literature","Arts & Humanities",800
"20","N306112413255","M","Singapore","ay1415","ANTHROPOLOGY",72.651,NA,62.8,"Arts & Humanities","Psychology",NA
"21","N384112402255","M","Singapore","ay1415","ECONOMICS",87.787,NA,89.2125,"Economics",NA,NA
"22","N388112421255","M","Singapore","ay1415","HISTORY",89.643,NA,92.875,"Global Affairs","History",NA
"23","N370112412264","F","Singapore","ay1415","LITERATURE",66.464,NA,53.4625,"History","Global Affairs",NA
"24","N358112414278","F","Singapore","ay1415","ARTS AND HUMANITIES",73.223,NA,65.675,"Psychology","Anthropology",NA
"25","N360112401278","M","North America","ay1415","PHYSICAL SCIENCES",88.835,NA,91.2625,"Physical Sciences",NA,780
"26","N362112425278","F","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",77.117,NA,69.4125,"Arts & Humanities","History",NA
"27","N363112424278","M","North America","ay1415","ENVIRONMENTAL STUDIES",80.624,NA,78.575,"Physical Sciences",NA,800
"28","N364112423278","F","South Asia","ay1415","LITERATURE",75.296,NA,64.375,"Global Affairs","Literature",770
"29","N365112421278","M","East Asia","ay1415","GLOBAL AFFAIRS",80.106,NA,79.15,"Life Sciences",NA,780
"30","N366112418278","F","Singapore","ay1415","DDP LAW & PSYCHOLOGY Major",77.524,NA,71.95,"Psychology","Philosophy, Politics and Economics",NA
"31","N367112414278","F","Singapore","ay1415","ARTS AND HUMANITIES",78.232,NA,67.0125,"Arts & Humanities","Economics",NA
"32","N368112413278","M","South Asia","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",78.125,NA,88.0625,"Physical Sciences",NA,800
"33","N370112402278","M","Singapore","ay1415","PSYCHOLOGY",82.83,NA,80.3,"Psychology","Economics",NA
"34","N372112424278","M","Europe","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",85.321,NA,82.925,"Philosophy, Politics and Economics",NA,760
"35","N373112423278","F","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",84.212,NA,87.775,"Literature","Anthropology",NA
"36","N374112421278","F","Singapore","ay1415","PHYSICAL SCIENCES",85.272,NA,87.275,"Life Sciences","Physical Sciences",NA
"37","N375112418278","F","Southeast Asia","ay1415","LITERATURE",81.742,NA,87.85,"Literature",NA,790
"38","N376112414278","F","Singapore","ay1415","GLOBAL AFFAIRS",76.543,NA,78.725,"Psychology","Arts & Humanities",NA
"39","N377112413278","F","Southeast Asia","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",72.685,NA,66,"Philosophy, Politics and Economics","Arts & Humanities",720
"40","N378112412278","F","East Asia","ay1415","ENVIRONMENTAL STUDIES",82.485,NA,87.125,"Psychology","Life Sciences",NA
"41","N380112425278","M","East Asia","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",78.498,NA,75.675,"Arts & Humanities","Global Affairs",780
"42","N381112424278","M","Singapore","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.494,NA,80.7375,"Physical Sciences","Mathematical, Computational and Statistical Sciences",800
"43","N382112423278","F","North America","ay1415","URBAN STUDIES",78.995,NA,69.15,"Global Affairs",NA,NA
"44","N383112421278","M","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",80.379,NA,84.7625,"Psychology","Undecided",NA
"45","N384112418278","F","Singapore","ay1415","DDP LAW",84.11,NA,85.525,"Philosophy, Politics and Economics","Literature",NA
"46","N386112413278","F","Singapore","ay1415","PSYCHOLOGY",82.646,NA,80.975,"Psychology","Undecided",NA
"47","N387112412278","F","Singapore","ay1415","ANTHROPOLOGY",82.291,NA,76.65,"Literature","Psychology",NA
"48","N388112410278","F","North America","ay1415","ARTS AND HUMANITIES",72.193,NA,NA,NA,NA,NA
"49","N389112408278","M","North America","ay1415","DDP Law",87.005,NA,88.475,"Undecided","Undecided",NA
"50","N390112424278","M","Singapore","ay1415","ECONOMICS",82.493,NA,86.75,"Economics","Psychology",NA
"51","N391112423278","F","North America","ay1415","ANTHROPOLOGY",81.007,NA,78.9,"Global Affairs",NA,800
"52","N392112421278","F","Singapore","ay1415","PSYCHOLOGY",74.6,NA,75.25,"Psychology","Arts & Humanities",NA
"53","N393112418278","F","Singapore","ay1415","ECONOMICS",76.423,NA,64.0875,"Philosophy, Politics and Economics","Global Affairs",NA
"54","N394112414278","M","Other","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",76.356,NA,77.4375,"Economics",NA,670
"55","N396112412278","F","North America","ay1415","URBAN STUDIES",71.76,NA,61.075,"Global Affairs","Environmental Studies",760
"56","N397112410278","F","North America","ay1415","ANTHROPOLOGY",85.115,NA,82.2,"Undecided","Undecided",NA
"57","N398112408278","F","Singapore","ay1415","ANTHROPOLOGY",74.718,NA,74.4375,"Global Affairs","Literature",740
"58","N399112405278","F","Singapore","ay1415","URBAN STUDIES",74.236,NA,68.4875,"Anthropology","Environmental Studies",NA
"59","N300112413279","M","Singapore","ay1415","DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",86.901,NA,88.4375,"Philosophy, Politics and Economics",NA,NA
"60","N301112412279","M","Europe","ay1415","ECONOMICS",85.15,NA,86.3625,"Mathematical, Computational and Statistical Sciences",NA,740
"61","N302112410279","M","North America","ay1415","GLOBAL AFFAIRS",74.367,NA,NA,"Philosophy, Politics and Economics","Global Affairs",660
"62","N303112408279","M","Singapore","ay1415","DDP LAW & PHILOSOPHY, POLITICS AND ECONOMICS Major",87.579,NA,91.975,"Global Affairs","Philosophy, Politics and Economics",NA
"63","N304112405279","M","Singapore","ay1415","ARTS AND HUMANITIES",80.468,NA,70.9,"Arts & Humanities","Literature",NA
"64","N305112401279","F","Singapore","ay1415","URBAN STUDIES",79.563,NA,80.6375,"Urban Studies","Anthropology",NA
"65","N306112402279","M","Singapore","ay1415","PSYCHOLOGY",84.309,NA,85.825,"Anthropology","History",750
"66","N307112425279","F","Singapore","ay1415","DDP LAW",83.634,NA,86.4375,"Arts & Humanities","Global Affairs",760
"67","N308112424279","M","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",89.147,NA,97.425,"Philosophy, Politics and Economics","Economics",NA
"68","N309112423279","F","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",71.42,NA,60.9,"Undecided","Undecided",NA
"69","N310112412279","F","Southeast Asia","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",77.662,NA,83.6875,"Life Sciences","Arts & Humanities",NA
"70","N311112410279","F","Singapore","ay1415","PSYCHOLOGY",81.689,NA,78.5,"Psychology","Physical Sciences",NA
"71","N313112405279","F","Singapore","ay1415","ECONOMICS",79.979,NA,85.7125,"Economics","History",NA
"72","N314112401279","M","East Asia","ay1415","PHILOSOPHY",81.251,NA,72.05,"Philosophy, Politics and Economics","Anthropology",NA
"73","N315112402279","M","Europe","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",71.927,NA,53.5,"Philosophy, Politics and Economics","Economics",750
"74","N316112425279","M","Singapore","ay1415","LIFE SCIENCES",78.801,NA,77.025,"Life Sciences",NA,NA
"75","N317112424279","M","Singapore","ay1415","ECONOMICS",84.879,NA,92.3,"Economics","Mathematical, Computational and Statistical Sciences",NA
"76","N319112421279","M","Southeast Asia","ay1415","PSYCHOLOGY",83.153,NA,87.8875,"Economics",NA,710
"77","N320112410279","M","North America","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",88.201,NA,91.225,"Arts & Humanities",NA,800
"78","N321112408279","F","Singapore","ay1415","URBAN STUDIES",73.04,NA,67.3625,"Global Affairs","Urban Studies",NA
"79","N322112405279","M","North America","ay1415","ARTS AND HUMANITIES",73.385,NA,63.7875,"Undecided",NA,630
"80","N323112401279","M","Singapore","ay1415","PSYCHOLOGY",79.721,NA,85.175,"Philosophy","Philosophy, Politics and Economics",NA
"81","N324112402279","M","Singapore","ay1415","ECONOMICS",76.802,NA,67.5625,"Philosophy, Politics and Economics","Literature",NA
"82","N325112425279","F","Singapore","ay1415","ENVIRONMENTAL STUDIES",71.771,NA,73.9625,"Life Sciences","Environmental Studies",NA
"83","N326112424279","M","South Asia","ay1415","GLOBAL AFFAIRS",77.366,NA,71.3375,"Philosophy, Politics and Economics","Global Affairs",NA
"84","N327112423279","F","Singapore","ay1415","LITERATURE",84.101,NA,84.1,"Anthropology","Literature",NA
"85","N328112421279","M","Singapore","ay1415","DDP LAW",76.872,NA,73.7125,"Arts & Humanities","Literature",NA
"86","N329112418279","F","Singapore","ay1415","PHILOSOPHY",78.784,NA,52.725,"History","Arts & Humanities",NA
"87","N330112408279","M","Other","ay1415","LIFE SCIENCES",77.239,NA,76.6,"Undecided","Undecided",690
"88","N331112405279","M","Singapore","ay1415","PSYCHOLOGY",78.178,NA,82.4040754625,"Anthropology","History",NA
"89","N332112401279","M","Singapore","ay1415","ENVIRONMENTAL STUDIES",83.322,NA,87.6625,"Environmental Studies","Urban Studies",NA
"90","N333112402279","F","Singapore","ay1415","ANTHROPOLOGY",64.751,NA,62.5375,"Anthropology","Global Affairs",NA
"91","N336112423279","F","Other","ay1415","ARTS AND HUMANITIES",73.037,NA,71.5625,"Global Affairs",NA,750
"92","N337112421279","F","Singapore","ay1415","ECONOMICS",83.783,NA,85.4,"Economics","Psychology",760
"93","N338112418279","F","Singapore","ay1415","ANTHROPOLOGY",76.455,NA,68.175,"Anthropology","Undecided",NA
"94","N339112414279","M","Singapore","ay1415","ENVIRONMENTAL STUDIES",85.425,NA,89.7625,"Philosophy, Politics and Economics","Global Affairs",NA
"95","N340112405279","F","Singapore","ay1415","URBAN STUDIES",72.711,NA,64.7625,"Arts & Humanities","Anthropology",NA
"96","N342112402279","M","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",80.514,NA,80.0875,"Economics",NA,NA
"97","N343112425279","M","Southeast Asia","ay1415","GLOBAL AFFAIRS",79.411,NA,81.575,"Physical Sciences",NA,790
"98","N344112424279","F","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",78.199,NA,74.3375,"Philosophy, Politics and Economics","Global Affairs",NA
"99","N346112421279","M","Singapore","ay1415","PSYCHOLOGY",78.851,NA,76.8875,"Literature","Philosophy",NA
"100","N347112418279","F","Singapore","ay1415","PSYCHOLOGY",70.784,NA,66.6125,"Psychology","Philosophy",NA
"101","N349112413279","F","North America","ay1415","URBAN STUDIES",82.676,NA,80.8375,"Philosophy, Politics and Economics",NA,800
"102","N350112401279","M","Singapore","ay1415","ENVIRONMENTAL STUDIES",88.294,NA,90.6875,"Economics",NA,790
"103","N351112402279","F","Singapore","ay1415","GLOBAL AFFAIRS",75.805,NA,64,"Economics","Global Affairs",NA
"104","N352112425279","M","Singapore","ay1415","DDP LAW",79.033,NA,76.7875,"Mathematical, Computational and Statistical Sciences","Philosophy, Politics and Economics",NA
"105","N353112424279","F","Singapore","ay1415","ARTS AND HUMANITIES",65.439,NA,47.1875,"Anthropology","Arts & Humanities",NA
"106","N354112423279","M","Singapore","ay1415","ECONOMICS",89.548,NA,96.35,"Economics","Philosophy",NA
"107","N355112421279","F","Singapore","ay1415","ANTHROPOLOGY",72.731,NA,65.1625,"Global Affairs","Psychology",NA
"108","N356112418279","F","Europe","ay1415","GLOBAL AFFAIRS",79.361,NA,74.2375,"Global Affairs","Philosophy, Politics and Economics",640
"109","N391113401219","M","Singapore","ay1415","ENVIRONMENTAL STUDIES",72.904,NA,71.275,"Philosophy, Politics and Economics","Arts & Humanities",NA
"110","N392113402219","F","Singapore","ay1415","HISTORY",69.886,NA,63.85,"Arts & Humanities","Philosophy, Politics and Economics",800
"111","N393113425219","F","Southeast Asia","ay1415","DDP LAW",78.739,NA,81.1125,"Philosophy, Politics and Economics",NA,NA
"112","N394113424219","F","Singapore","ay1415","HISTORY",73.458,NA,59.925,"Global Affairs","Philosophy, Politics and Economics",NA
"113","N395113423219","F","Singapore","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",81.361,NA,80.375,"Arts & Humanities","Life Sciences",NA
"114","N396113421219","M","Singapore","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",78.906,NA,NA,"Literature","Arts & Humanities",750
"115","N365113414221","F","Southeast Asia","ay1415","ARTS AND HUMANITIES",63.773,NA,52.1125,"Economics",NA,640
"116","N366113413221","F","North America","ay1415","LIFE SCIENCES",88.072,NA,92.725,"Economics",NA,780
"117","N367113412221","M","Europe","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.384,NA,92.45,"Mathematical, Computational and Statistical Sciences",NA,NA
"118","N368113410221","M","East Asia","ay1415","HISTORY",77.7,NA,72.2,"History",NA,720
"119","N369113408221","M","North America","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",82.842,NA,NA,"Physical Sciences",NA,790
"120","N370113424221","M","North America","ay1415","LIFE SCIENCES",81.706,NA,80.2,"Arts & Humanities",NA,670
"121","N372113421221","F","Other","ay1415","LIFE SCIENCES",78.545,NA,73.9875,"Physical Sciences",NA,710
"122","N374113414221","M","Other","ay1415","ECONOMICS",75.529,NA,69.7125,"Psychology",NA,800
"123","N376113412221","M","Other","ay1415","HISTORY",75.601,NA,64.9375,"Arts & Humanities",NA,760
"124","N377113410221","M","Europe","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",80.258,NA,79.2125,"Philosophy, Politics and Economics",NA,780
"125","N378113408221","F","East Asia","ay1415","GLOBAL AFFAIRS",82.163,NA,78.5375,"Urban Studies","Philosophy, Politics and Economics",NA
"126","N379113405221","F","South Asia","ay1415","LITERATURE",70.495,NA,56.7375,"Global Affairs","Literature",580
"127","N380113423221","F","Southeast Asia","ay1415","PHILOSOPHY, POLITICS AND ECONOMICS",77.12,NA,71.35,"Environmental Studies",NA,760
"128","N381113421221","F","Other","ay1415","ECONOMICS",74.839,NA,71.175,"Undecided",NA,NA
"129","N382113418221","F","Other","ay1415","GLOBAL AFFAIRS",79.039,NA,NA,"Global Affairs",NA,690
"130","N385113412221","F","Europe","ay1415","MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",84.504,NA,87.2875,"Physical Sciences",NA,780
"131","N386113410221","F","North America","ay1415","ENVIRONMENTAL STUDIES",76.512,NA,72.25,"Economics","Arts & Humanities",650
"132","N388113405221","F","North America","ay1415","PHILOSOPHY",76.87,NA,80.2625,"Anthropology","Global Affairs",800
"133","N389113401221","F","Europe","ay1415","LITERATURE",72.409,NA,72.6375,"Global Affairs",NA,NA
"134","N390113421221","F","South Asia","ay1415","ECONOMICS",73.211,NA,65.825,"Economics",NA,770
"135","N308113412226","F","Singapore","ay1415","GLOBAL AFFAIRS",72.539,NA,69.7125,"Global Affairs","Arts & Humanities",NA
