,PIN,Sex,Region,Year,Major,Grade,IndGrd2,AC1,AC2,SATimp,HSG_imp
0,N313106412255,M,Southeast Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",83.66,1.0,"Philosophy, Politics and Economics",Undeclared,770.0,1.0
1,N303108421205,M,Singapore,ay1415,DDP LAW,82.399,0.0,Global Affairs,Psychology,756.0,1.0
2,N397110424273,F,Singapore,ay1415,PHILOSOPHY,79.126,1.0,Undecided,Philosophy,730.0,1.0
3,N308110412274,F,Singapore,ay1415,LIFE SCIENCES,83.576,1.0,"Philosophy, Politics and Economics",Psychology,758.0,1.0
4,N337110408274,F,Singapore,ay1415,PSYCHOLOGY,88.145,1.0,"Philosophy, Politics and Economics",Economics,782.0,1.0
5,N386110425292,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.572,0.0,History,Anthropology,735.0,2.0
6,N374110423297,M,Singapore,ay1415,ENVIRONMENTAL STUDIES,81.366,0.0,Psychology,Arts & Humanities,755.0,1.0
7,N379112424217,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",81.511,1.0,"Philosophy, Politics and Economics",Undeclared,773.0,1.0
8,N395112408223,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",86.787,1.0,Undeclared,Undeclared,782.0,1.0
9,N376112405225,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",74.874,1.0,"Mathematical, Computational and Statistical Sciences",Undeclared,780.0,1.0
10,N330112423236,F,Other,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",82.678,0.0,Life Sciences,Literature,640.0,1.0
11,N331112421236,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",80.954,0.0,"Mathematical, Computational and Statistical Sciences",Economics,800.0,1.0
12,N332112418236,M,Singapore,ay1415,PHYSICAL SCIENCES,81.701,1.0,Physical Sciences,Literature,763.0,1.0
13,N333112414236,M,Singapore,ay1415,GLOBAL AFFAIRS,68.854,0.0,"Philosophy, Politics and Economics",Global Affairs,728.0,2.0
14,N385112421249,M,Singapore,ay1415,HISTORY,78.591,0.0,Life Sciences,Anthropology,741.0,2.0
15,N320112401251,M,Singapore,ay1415,ANTHROPOLOGY,83.191,1.0,Arts & Humanities,Philosophy,779.0,1.0
16,N381112413252,M,Singapore,ay1415,DDP LAW & GLOBAL AFFAIRS Major,88.899,1.0,Literature,Arts & Humanities,800.0,1.0
17,N306112413255,M,Singapore,ay1415,ANTHROPOLOGY,72.651,0.0,Arts & Humanities,Psychology,720.0,2.0
18,N384112402255,M,Singapore,ay1415,ECONOMICS,87.787,1.0,Economics,Undeclared,781.0,1.0
19,N388112421255,M,Singapore,ay1415,HISTORY,89.643,1.0,Global Affairs,History,789.0,1.0
20,N370112412264,F,Singapore,ay1415,LITERATURE,66.464,0.0,History,Global Affairs,699.0,2.0
21,N358112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,73.223,0.0,Psychology,Anthropology,727.0,2.0
22,N360112401278,M,North America,ay1415,PHYSICAL SCIENCES,88.835,1.0,Physical Sciences,Undeclared,780.0,1.0
23,N362112425278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",77.117,0.0,Arts & Humanities,History,735.0,2.0
24,N363112424278,M,North America,ay1415,ENVIRONMENTAL STUDIES,80.624,0.0,Physical Sciences,Undeclared,800.0,1.0
25,N364112423278,F,South Asia,ay1415,LITERATURE,75.296,0.0,Global Affairs,Literature,770.0,2.0
26,N365112421278,M,East Asia,ay1415,GLOBAL AFFAIRS,80.106,1.0,Life Sciences,Undeclared,780.0,1.0
27,N366112418278,F,Singapore,ay1415,DDP LAW & PSYCHOLOGY Major,77.524,0.0,Psychology,"Philosophy, Politics and Economics",741.0,2.0
28,N367112414278,F,Singapore,ay1415,ARTS AND HUMANITIES,78.232,0.0,Arts & Humanities,Economics,730.0,2.0
29,N368112413278,M,South Asia,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",78.125,1.0,Physical Sciences,Undeclared,800.0,1.0
30,N370112402278,M,Singapore,ay1415,PSYCHOLOGY,82.83,1.0,Psychology,Economics,760.0,1.0
31,N372112424278,M,Europe,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",85.321,1.0,"Philosophy, Politics and Economics",Undeclared,760.0,1.0
32,N373112423278,F,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",84.212,1.0,Literature,Anthropology,777.0,1.0
33,N374112421278,F,Singapore,ay1415,PHYSICAL SCIENCES,85.272,1.0,Life Sciences,Physical Sciences,776.0,1.0
34,N375112418278,F,Southeast Asia,ay1415,LITERATURE,81.742,1.0,Literature,Undeclared,790.0,1.0
35,N376112414278,F,Singapore,ay1415,GLOBAL AFFAIRS,76.543,0.0,Psychology,Arts & Humanities,757.0,1.0
36,N377112413278,F,Southeast Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",72.685,0.0,"Philosophy, Politics and Economics",Arts & Humanities,720.0,2.0
37,N378112412278,F,East Asia,ay1415,ENVIRONMENTAL STUDIES,82.485,1.0,Psychology,Life Sciences,776.0,1.0
38,N380112425278,M,East Asia,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",78.498,0.0,Arts & Humanities,Global Affairs,780.0,1.0
39,N381112424278,M,Singapore,ay1415,"MATHEMATICAL, COMPUTATIONAL AND STATISTICAL SCIENCES",79.494,1.0,Physical Sciences,"Mathematical, Computational and Statistical Sciences",800.0,1.0
40,N382112423278,F,North America,ay1415,URBAN STUDIES,78.995,0.0,Global Affairs,Undeclared,735.0,2.0
41,N383112421278,M,Singapore,ay1415,"PHILOSOPHY, POLITICS AND ECONOMICS",80.379,1.0,Psychology,Undecided,770.0,1.0
42,N384112418278,F,Singapore,ay1415,DDP LAW,84.11,1.0,"Philosophy, Politics and Economics",Literature,772.0,1.0
43,N386112413278,F,Singapore,ay1415,PSYCHOLOGY,82.646,1.0,Psychology,Undecided,762.0,1.0
44,N387112412278,F,Singapore,ay1415,ANTHROPOLOGY,82.291,0.0,Literature,Psychology,752.0,1.0
45,N389112408278,M,North America,ay1415,DDP Law,87.005,1.0,Undecided,Undecided,779.0,1.0
46,N390112424278,M,Singapore,ay1415,ECONOMICS,82.493,1.0,Economics,Psychology,775.0,1.0
47,N391112423278,F,North America,ay1415,ANTHROPOLOGY,81.007,0.0,Global Affairs,Undeclared,800.0,1.0
